CPU_Single,CPU_multi,CPU_Quad,GPU_Performance ,SSD_Performance,RAM Performance,Gaming preferences,Office Preferences,Server Preferences
185,693,1107,96.8,230,66.7,1,3,3
149,564,611,51.3,93.3,84.2,1,3,3
174,690,1096,122,221,95.5,1,3,3
199,832,1240,154,225,85.9,1,3,3
209,916,1565,94.4,316,93,1,3,3
150,642,1019,103,111,68,1,3,3
156,597,778,105,92,60.3,1,3,3
146,539,890,29.7,217,81.2,1,3,3
138,584,941,54.2,73.9,39,1,3,3
38.2,100,100,3.26,44.6,13.5,1,3,3
140,474,757,88.8,181,81.1,1,3,3
119,468,676,83.5,91.9,85.5,1,3,3
139,432,443,66.5,404,72.5,1,3,3
178,815,1231,6.15,167,39.2,1,3,2
224,970,1782,201,275,201,1,3,2
201,832,1224,132,275,108,1,3,2
208,990,3034,215,556,183,1,3,2
264,1369,4314,412,605,213,1,3,2
201,914,1471,181,114,89.2,1,3,2
220,1077,1670,120,534,164,1,3,2
188,838,1172,110,223,74.2,1,3,2
123,304,403,39.1,38.8,38,1,3,2
164,761,1474,146,268,84.4,1,3,2
77.2,259,333,7.33,59,46.1,1,3,2
153,624,949,102,160,85.6,1,3,2
110,469,845,13.9,148,78.4,1,3,2
76.7,223,313,2.15,119,32.4,1,3,2
270,1436,4502,385,443,167,1,3,2
262,1350,3714,154,471,219,1,3,2
200,974,1552,295,215,118,1,3,2
107,331,369,45.1,95.4,71.3,1,3,2
155,639,980,115,84.6,83.8,1,3,2
172,743,1457,117,182,83.9,1,3,2
137,409,106,9.88,217,47.6,1,3,2
227,1151,2830,398,155,178,1,3,2
157,632,1065,51.3,200,92.9,1,3,2
193,930,1622,173,519,187,1,3,2
77.6,199,260,59.9,56.9,64.8,1,3,2
124,523,710,126,84.5,80.8,1,3,2
147,570,684,78.3,39.3,70.9,1,3,2
125,368,331,63,55.5,37.1,1,3,2
106,299,304,28,65.9,40.1,1,3,2
174,806,1486,209,238,95.5,1,3,2
250,1303,4271,396,458,128,1,3,2
120,467,675,80.2,87.1,84.7,1,3,2
186,792,1102,131,306,95.9,1,3,2
175,775,1562,108,94.5,95.3,1,3,2
242,1246,3709,381,440,173,1,3,2
